id	gold	rater1	rater2	rater3
g0pB_taska	non	non	non	non	
g0pB_taskb	non	non	non	non	
g4pE_taskd	non	non	non	non	
g0pC_taskb	non	non	non	non	
g0pC_taskc	non	non	non	non	
g2pB_taska	non	non	non	non	
g2pE_taskd	non	non	non	non	
g2pE_taske	non	non	non	non	
g3pB_taskb	non	non	non	non	
g0pA_taska	non	non	non	non	
g0pA_taske	non	non	non	non	
g0pE_taskd	non	non	non	non	
g0pE_taskc	non	non	non	non	
g2pC_taskb	non	non	non	non	
g2pC_taskc	non	non	non	non	
g1pB_taska	non	non	non	non	
g1pB_taskb	non	non	non	non	
g2pA_taske	non	non	non	non	
g2pA_taska	non	non	non	non	
g1pD_taskd	non	non	non	non	
g1pD_taskc	non	non	non	non	
g4pB_taska	non	non	non	non	
g4pB_taskb	non	non	non	non	
g4pC_taskb	non	non	non	non	
g4pC_taskc	non	non	non	non	
g0pD_taske	non	non	non	non	
g0pD_taskd	non	non	non	non	
g3pC_taskc	non	non	non	non	
g3pC_taskb	non	non	non	non	
g4pD_taskd	non	non	non	non	
g4pD_taskc	non	non	non	non	
g1pA_taske	non	non	non	non	
g1pA_taska	non	non	non	non	
g0pC_taske	light	light	light	light	
g2pE_taskb	light	light	light	light	
g3pC_taske	light	light	light	light	
g1pD_taska	light	heavy	heavy	heavy	
g0pE_taska	light	cut	cut	cut	
g0pB_taske	heavy	heavy	heavy	heavy	
g2pE_taska	heavy	heavy	heavy	heavy	
g0pD_taskc	heavy	heavy	heavy	heavy	
g2pE_taskc	cut	non	non	non	
g4pD_taskb	cut	non	non	non	
g2pB_taske	cut	cut	cut	cut	
g0pA_taskb	cut	cut	cut	cut	
g0pE_taske	cut	cut	cut	cut	
g4pB_taske	cut	cut	cut	cut	
g4pC_taska	cut	cut	cut	cut	
g3pC_taska	cut	cut	cut	cut	
g2pB_taskb	non	non	non	heavy	
g3pB_taska	non	non	non	heavy	
g3pA_taska	non	non	heavy	non	
g3pA_taske	non	non	heavy	heavy	
g4pE_taske	non	heavy	non	non	
g1pB_taskd	light	non	non	heavy	
g3pB_taskd	light	non	light	light	
g2pC_taske	light	non	heavy	heavy	
g0pB_taskd	light	light	non	light	
g3pA_taskc	light	light	non	light	
g0pD_taskb	light	light	light	heavy	
g4pC_taske	light	light	light	cut	
g2pA_taskc	light	light	cut	light	
g0pA_taskc	light	heavy	light	light	
g4pE_taskb	light	cut	heavy	cut	
g3pB_taskc	heavy	non	non	heavy	
g1pD_taske	heavy	non	non	heavy	
g4pE_taska	heavy	non	heavy	non	
g0pC_taska	heavy	non	heavy	heavy	
g2pB_taskc	heavy	non	heavy	heavy	
g0pA_taskd	heavy	non	heavy	heavy	
g1pA_taskb	heavy	non	heavy	heavy	
g0pE_taskb	heavy	non	cut	cut	
g4pB_taskc	heavy	non	cut	cut	
g4pC_taskd	heavy	light	light	cut	
g3pA_taskb	heavy	light	heavy	light	
g1pB_taskc	heavy	heavy	light	heavy	
g3pC_taskd	heavy	heavy	heavy	light	
g4pD_taske	heavy	heavy	heavy	light	
g4pE_taskc	cut	non	cut	cut	
g2pC_taska	cut	non	cut	cut	
g3pB_taske	cut	light	cut	cut	
g3pA_taskd	cut	cut	light	cut	
g0pD_taska	cut	cut	heavy	cut	
g0pC_taskd	cut	cut	cut	light	
g1pA_taskc	light	non	light	heavy	
g2pB_taskd	light	non	cut	light	
g4pD_taska	light	heavy	light	non	
g4pB_taskd	light	heavy	cut	light	
g2pC_taskd	heavy	non	heavy	cut	
g2pA_taskb	heavy	heavy	non	light	
g1pB_taske	cut	non	light	cut	
g0pB_taskc	cut	non	heavy	light	
g1pD_taskb	cut	non	cut	light	
g1pA_taskd	cut	heavy	non	cut	
g2pA_taskd	cut	cut	heavy	non	
